Timestamp,1_Yaw,1_Pitch,1_Roll,1_Ax,1_Ay,1_Az,2_Yaw,2_Pitch,2_Roll,2_Ax,2_Ay,2_Az,Audio_A5,Audio_A6,Audio_A7
1742061092.3148613,0.0,0.0,0.0,-24.0,-12.0,-16382.0,0.0,-0.0,0.01,-21.0,-74.0,-24572.0,5.0,32.0,6.0
1742061092.3233626,0.0,0.0,0.0,-33.0,-80.0,-32763.0,0.0,-0.0,0.01,-30.0,-141.0,24583.0,130.0,110.0,78.0
1742061092.3353662,0.0,0.0,0.0,-42.0,-147.0,16391.0,0.0,-0.0,0.01,-39.0,-207.0,8200.0,0.0,0.0,0.0
1742061092.343869,0.0,0.0,0.0,-51.0,-213.0,8.0,0.0,-0.0,0.01,-49.0,-272.0,-8182.0,0.0,0.0,0.0
1742061092.3563685,0.0,0.0,0.0,-61.0,-278.0,-16373.0,0.0,-0.0,0.01,-59.0,-337.0,-24563.0,97.0,137.0,83.0
1742061092.3643672,0.0,0.0,0.0,-72.0,-343.0,-32754.0,0.0,-0.0,0.01,-70.0,-401.0,24592.0,25.0,0.0,13.0
1742061092.3763669,0.0,0.0,0.0,-83.0,-406.0,16400.0,0.0,-0.0,0.01,-81.0,-463.0,8209.0,27.0,32.0,35.0
1742061092.384868,0.0,0.0,0.0,-94.0,-468.0,17.0,0.0,-0.0,0.01,-92.0,-524.0,-8173.0,0.0,0.0,0.0
1742061092.3968704,0.0,0.0,0.0,-105.0,-529.0,-16364.0,0.0,-0.0,0.01,-103.0,-584.0,-24554.0,0.0,3.0,0.0
1742061092.405367,0.0,0.0,0.0,-116.0,-589.0,-32745.0,0.0,-0.0,0.01,-114.0,-644.0,24601.0,146.0,142.0,109.0
1742061092.4178765,0.0,0.0,0.0,-127.0,-649.0,16409.0,0.0,-0.0,0.01,-125.0,-703.0,8218.0,30.0,18.0,0.0
1742061092.4258726,0.0,0.0,0.0,-138.0,-708.0,26.0,0.0,-0.0,0.01,-136.0,-761.0,-8164.0,0.0,0.0,0.0
1742061092.4378788,0.0,0.0,0.0,-149.0,-766.0,-16355.0,0.0,-0.0,0.01,-147.0,-818.0,-24545.0,39.0,60.0,45.0
1742061092.446379,0.0,0.0,0.0,-160.0,-822.0,-32736.0,0.0,-0.0,0.01,-158.0,-874.0,24610.0,0.0,2.0,0.0
1742061092.4583795,0.0,0.0,0.0,-171.0,-878.0,16418.0,0.0,-0.0,0.01,-170.0,-929.0,8227.0,82.0,42.0,76.0
1742061092.4668798,0.0,0.0,0.0,-184.0,-933.0,35.0,0.0,-0.0,0.01,-183.0,-983.0,-8155.0,0.0,0.0,0.0
1742061092.4788792,0.0,0.0,0.0,-197.0,-987.0,-16346.0,0.0,-0.0,0.01,-196.0,-1037.0,-24536.0,0.0,0.0,0.0
1742061092.4868917,0.0,0.0,0.0,-210.0,-1041.0,-32727.0,0.0,-0.0,0.01,-209.0,-1090.0,24619.0,77.0,91.0,117.0
1742061092.499379,0.0,0.0,0.0,-223.0,-1094.0,16427.0,0.0,-0.0,0.01,-222.0,-1142.0,8236.0,0.0,20.0,16.0
1742061092.5073805,0.0,0.0,0.0,-236.0,-1145.0,44.0,0.0,-0.0,0.01,-235.0,-1192.0,-8146.0,77.0,62.0,5.0
1742061092.5196795,0.0,0.0,0.0,-249.0,-1195.0,-16337.0,0.0,-0.0,0.01,-248.0,-1242.0,-24527.0,0.0,0.0,0.0
1742061092.5281737,0.0,0.0,0.0,-262.0,-1245.0,-32718.0,0.0,-0.0,0.01,-261.0,-1291.0,24628.0,0.0,0.0,7.0
1742061092.5401843,0.0,0.0,0.0,-275.0,-1294.0,16436.0,0.0,-0.0,0.01,-274.0,-1339.0,8245.0,141.0,131.0,107.0
1742061092.5521998,0.0,0.0,0.0,-288.0,-1342.0,53.0,0.0,-0.0,0.01,-287.0,-1387.0,-8137.0,16.0,19.0,29.0
1742061092.5606868,0.0,0.0,0.0,-301.0,-1390.0,-16328.0,0.0,0.0,0.01,-301.0,-1434.0,-24518.0,0.0,0.0,0.0
1742061092.5731893,0.0,0.0,0.0,-315.0,-1437.0,-32709.0,0.0,0.0,0.01,-315.0,-1480.0,24637.0,37.0,105.0,70.0
1742061092.581187,0.0,0.0,0.0,-329.0,-1483.0,16445.0,0.0,0.0,0.01,-329.0,-1526.0,8254.0,18.0,36.0,12.0
1742061092.5936878,0.0,0.0,0.0,-343.0,-1529.0,62.0,0.0,0.0,0.01,-343.0,-1571.0,-8128.0,0.0,0.0,0.0
1742061092.606189,0.0,0.0,0.0,-357.0,-1574.0,-16319.0,0.0,0.0,0.01,-357.0,-1615.0,-24509.0,168.0,122.0,123.0
1742061092.6181898,0.0,0.0,0.0,-371.0,-1618.0,-32700.0,0.0,0.0,0.01,-371.0,-1658.0,24646.0,0.0,44.0,0.0
1742061092.626191,0.0,0.0,0.0,-386.0,-1660.0,16454.0,0.0,0.0,0.01,-387.0,-1700.0,8263.0,0.0,0.0,0.0
1742061092.6382027,0.0,0.0,0.0,-402.0,-1702.0,71.0,0.0,0.0,0.0,-403.0,-1741.0,-8119.0,57.0,77.0,86.0
1742061092.6467025,0.0,0.0,0.0,-418.0,-1743.0,-16310.0,0.0,0.0,0.0,-419.0,-1782.0,-24500.0,19.0,6.0,0.0
1742061092.6592019,0.0,0.0,0.0,-434.0,-1784.0,-32691.0,0.0,0.0,0.0,-435.0,-1822.0,24655.0,114.0,100.0,65.0
1742061092.6672013,0.0,0.0,0.0,-450.0,-1824.0,16463.0,0.0,0.0,0.0,-451.0,-1862.0,8272.0,0.0,0.0,0.0
1742061092.679702,0.0,0.0,0.0,-466.0,-1864.0,80.0,0.0,0.0,0.0,-467.0,-1901.0,-8110.0,0.0,0.0,0.0
1742061092.6914403,0.0,0.0,0.0,-482.0,-1902.0,-16301.0,0.0,0.0,0.0,-483.0,-1938.0,-24491.0,144.0,117.0,148.0
1742061092.6999397,0.0,0.0,0.0,-498.0,-1939.0,-32682.0,0.0,0.0,0.0,-499.0,-1975.0,24664.0,0.0,35.0,12.0
1742061092.7119648,0.0,0.0,0.0,-514.0,-1976.0,16472.0,0.0,0.0,0.0,-515.0,-2011.0,8281.0,0.0,0.0,0.0
1742061092.7204423,0.0,0.0,0.0,-530.0,-2012.0,89.0,0.0,0.0,0.0,-531.0,-2046.0,-8101.0,1.0,47.0,72.0
1742061092.7324576,0.0,0.0,0.0,-546.0,-2047.0,-16292.0,0.0,0.0,0.0,-548.0,-2081.0,-24482.0,30.0,45.0,37.0
1742061092.7409697,0.0,0.0,0.0,-563.0,-2082.0,-32673.0,0.0,0.0,0.0,-565.0,-2115.0,24673.0,120.0,80.0,87.0
1742061092.75347,0.0,0.0,0.0,-580.0,-2116.0,16481.0,0.0,0.0,0.0,-582.0,-2148.0,8290.0,56.0,88.0,65.0
1742061092.7659724,0.0,0.0,0.0,-597.0,-2149.0,98.0,0.0,0.0,0.0,-599.0,-2180.0,-8092.0,0.0,28.0,0.0
1742061092.777968,0.0,0.0,0.0,-615.0,-2181.0,-16283.0,0.0,0.0,0.0,-617.0,-2212.0,-24473.0,0.0,0.0,0.0
1742061092.785968,0.0,0.0,0.0,-633.0,-2212.0,-32664.0,0.0,0.0,0.0,-635.0,-2242.0,24682.0,72.0,62.0,74.0
1742061092.7984679,0.0,0.0,0.0,-651.0,-2242.0,16490.0,0.0,0.0,0.0,-654.0,-2272.0,8299.0,0.0,11.0,0.0
1742061092.806469,0.0,0.0,0.0,-670.0,-2272.0,107.0,0.0,0.0,0.0,-673.0,-2301.0,-8083.0,58.0,70.0,86.0
1742061092.8184917,0.0,0.0,0.0,-689.0,-2301.0,-16274.0,0.0,0.0,0.0,-692.0,-2330.0,-24464.0,0.0,0.0,0.0
1742061092.826971,0.0,0.0,0.0,-708.0,-2330.0,-32655.0,0.0,0.0,0.0,-711.0,-2358.0,24691.0,0.0,0.0,0.0
1742061092.839502,0.0,0.0,0.0,-727.0,-2358.0,16499.0,0.0,0.0,0.0,-730.0,-2385.0,8308.0,96.0,106.0,68.0
1742061092.8475015,0.0,0.0,0.0,-746.0,-2385.0,116.0,0.0,0.0,0.0,-749.0,-2412.0,-8074.0,2.0,0.0,7.0
1742061092.8600013,0.0,0.0,0.0,-765.0,-2412.0,-16265.0,0.0,0.0,0.0,-768.0,-2438.0,-24455.0,56.0,34.0,19.0
1742061092.8680017,0.0,0.0,0.0,-784.0,-2438.0,-32646.0,0.0,0.0,0.0,-787.0,-2464.0,24700.0,0.0,0.0,0.0
1742061092.880001,0.0,0.0,-0.0,-804.0,-2463.0,16508.0,0.0,0.0,0.0,-807.0,-2488.0,8317.0,8.0,0.0,14.0
1742061092.8925006,0.0,0.0,-0.0,-824.0,-2487.0,125.0,0.0,0.0,0.0,-828.0,-2512.0,-8065.0,117.0,126.0,82.0
1742061092.9005008,0.0,0.0,-0.0,-845.0,-2511.0,-16256.0,0.0,0.0,0.0,-849.0,-2535.0,-24446.0,0.0,28.0,0.0
1742061092.9130037,0.0,0.0,-0.0,-866.0,-2534.0,-32637.0,0.0,0.0,0.0,-870.0,-2557.0,24709.0,0.0,0.0,0.0
1742061092.9255085,0.0,0.0,-0.0,-887.0,-2556.0,16517.0,0.0,0.0,0.0,-891.0,-2578.0,8326.0,164.0,99.0,119.0
1742061092.9375622,0.0,0.0,-0.0,-908.0,-2577.0,134.0,0.0,0.0,0.0,-912.0,-2599.0,-8056.0,13.0,52.0,32.0
1742061092.9460623,0.0,0.0,-0.0,-929.0,-2597.0,-16247.0,0.0,0.0,0.0,-933.0,-2619.0,-24437.0,0.0,0.0,0.0
1742061092.9575784,0.0,0.0,-0.0,-950.0,-2618.0,-32628.0,0.0,0.0,0.0,-955.0,-2640.0,24718.0,133.0,80.0,107.0
1742061092.9665627,0.0,0.0,-0.0,-972.0,-2639.0,16526.0,0.0,0.0,0.0,-977.0,-2660.0,8335.0,0.0,0.0,0.0
1742061092.978069,0.0,0.0,-0.0,-994.0,-2659.0,143.0,0.0,0.0,0.0,-999.0,-2680.0,-8047.0,0.0,0.0,0.0
1742061092.9905782,0.0,0.0,-0.0,-1016.0,-2678.0,-16238.0,0.0,0.0,0.0,-1021.0,-2698.0,-24428.0,102.0,114.0,133.0
1742061092.999062,0.0,0.0,-0.0,-1038.0,-2696.0,-32619.0,0.0,0.0,0.0,-1043.0,-2716.0,24727.0,23.0,62.0,22.0
1742061093.011062,0.0,0.0,-0.0,-1060.0,-2714.0,16535.0,0.0,0.0,0.0,-1065.0,-2734.0,8344.0,9.0,10.0,0.0
1742061093.019562,0.0,0.0,-0.0,-1082.0,-2732.0,152.0,0.0,0.0,0.0,-1087.0,-2751.0,-8038.0,0.0,2.0,65.0
1742061093.0315647,0.0,0.0,-0.0,-1104.0,-2749.0,-16229.0,0.0,0.0,0.0,-1109.0,-2768.0,-24419.0,0.0,11.0,0.0
1742061093.0400724,0.0,0.0,-0.0,-1126.0,-2766.0,-32610.0,0.0,0.0,0.0,-1131.0,-2784.0,24736.0,106.0,88.0,76.0
