Timestamp	1_Yaw	1_Pitch	1_Roll	1_Ax	1_Ay	1_Az	2_Yaw	2_Pitch	2_Roll	2_Ax	2_Ay	2_Az	Audio_A5	Audio_A6	Audio_A7
1742429066.4651248	0	0	0	-14	-70	-24572	0	0	0.01	-12	-131	-32762	222	237	240
1742429066.4751208	0	0	0	-20	-135	24583	0	0	0.01	-18	-195	16392	17	0	0
1742429066.4841201	0	0	0	-27	-199	8200	0	0	0.01	-24	-258	9	7	0	0
1742429066.4961197	0	0	0	-33	-262	-8182	0	0	0.01	-31	-320	-16372	21	86	121
1742429066.5041187	0	0	0	-40	-324	-24563	0	0	0.01	-38	-381	-32753	17	0	0
1742429066.5161197	0	0	0	-47	-384	24592	0	0	0.01	-45	-440	16401	237	232	198
1742429066.5246196	0	0	0	-54	-443	8209	0	0	0.01	-52	-498	18	0	0	0
1742429066.5366416	0	0	0	-61	-501	-8173	0	0	0.01	-59	-556	-16363	0	0	0
1742429066.5451465	0	0	0	-68	-559	-24554	0	0	0.01	-67	-613	-32744	157	167	194
1742429066.5571516	0	0	0	-76	-616	24601	0	0	0.01	-75	-669	16410	7	27	4
1742429066.565651	0	0	0	-84	-672	8218	0	0	0.01	-83	-724	27	168	161	144
1742429066.574153	0	0	0	-92	-727	-8164	0	0	0.01	-91	-779	-16354	0	0	0
1742429066.585651	0	0	0	-100	-781	-24545	0	0	0.01	-99	-832	-32735	0	0	0
1742429066.5981522	0	0	0	-108	-834	24610	0	0	0.01	-107	-884	16419	212	249	258
1742429066.6066523	0	0	0	-116	-886	8227	0	0	0.01	-115	-935	36	0	7	0
1742429066.615152	0	0	0	-125	-937	-8155	0	0	0.01	-124	-986	-16345	95	57	54
1742429067	0	0	0	-133	-988	-24536	0	0	0.01	-132	-1036	-32726	0	17	32
1742429066.6358092	0	0	0	-141	-1038	24619	0	0	0.01	-141	-1085	16428	0	0	3
1742429066.6473336	0	0	0	-151	-1086	8236	0	0	0.01	-151	-1132	45	255	219	201
1742429066.6593328	0	0	0	-161	-1133	-8146	0	0	0.01	-161	-1178	-16336	0	0	0
1742429066.6683419	0	0	0	-171	-1179	-24527	0	0	0.01	-171	-1224	-32717	0	0	0
1742429066.6799877	0	0	0	-181	-1225	24628	0	0	0.01	-181	-1269	16437	144	178	210
1742429066.688486	0	0	0	-191	-1270	8245	0	0	0.01	-191	-1313	54	16	7	0
1742429066.7009854	0	0	0	-201	-1314	-8137	0	0	0.01	-201	-1356	-16327	124	105	55
1742429066.708986	0	0	0	-211	-1357	-24518	0	0	0.01	-211	-1398	-32708	0	0	0
1742429066.7209918	0	0	0	-221	-1399	24637	0	0	0.01	-221	-1440	16446	0	0	0
1742429066.7299917	0	0	0	-231	-1441	8254	0	0	0.01	-231	-1481	63	265	291	234
1742429066.7455015	0	0	0	-241	-1481	-8128	0	0	0	-242	-1519	-16318	194	213	238
1742429066.758007	0	0	0	-252	-1519	-24509	0	0	0	-253	-1557	-32699	15	0	12
1742429066.7666996	0	0	0	-263	-1557	24646	0	0	0	-264	-1594	16455	86	36	23
1742429066.778197	0	0	0	-274	-1594	8263	0	0	0	-275	-1630	72	0	0	31
1742429066.7871976	0	0	0	-285	-1630	-8119	0	0	0	-286	-1666	-16309	0	0	0
1742429066.7996943	0	0	0	-296	-1666	-24500	0	0	0	-297	-1701	-32690	228	254	220
1742429066.8076956	0	0	0	-307	-1701	24655	0	0	0	-308	-1735	16464	18	3	0
1742429066.819194	0	0	0	-318	-1735	8272	0	0	0	-319	-1769	81	0	0	0
1742429066.828194	0	0	0	-329	-1769	-8110	0	0	0	-330	-1802	-16300	129	115	139
1742429066.8401992	0	0	0	-340	-1802	-24491	0	0	0	-341	-1834	-32681	0	0	16
