Timestamp,1_Yaw,1_Pitch,1_Roll,1_Ax,1_Ay,1_Az,2_Yaw,2_Pitch,2_Roll,2_Ax,2_Ay,2_Az,Audio_A5,Audio_A6,Audio_A7
1742508247.494715,0.0,0.0,0.0,0.0,-71.0,-24572.0,0.0,-0.0,0.01,2.0,-132.0,-32762.0,115.0,51.0,50.0
1742508247.5066307,0.0,0.0,0.0,0.0,-137.0,24583.0,0.0,-0.0,0.01,1.0,-197.0,16392.0,0.0,0.0,0.0
1742508247.5146322,0.0,0.0,0.0,0.0,-202.0,8200.0,0.0,-0.0,0.01,1.0,-261.0,9.0,0.0,0.0,0.0
1742508247.5271363,0.0,0.0,0.0,0.0,-265.0,-8182.0,0.0,-0.0,0.01,1.0,-323.0,-16372.0,53.0,91.0,118.0
1742508247.5351377,0.0,0.0,0.0,0.0,-327.0,-24563.0,0.0,-0.0,0.01,1.0,-385.0,-32753.0,19.0,20.0,0.0
1742508247.5436363,0.0,0.0,0.0,0.0,-389.0,24592.0,0.0,-0.0,0.01,1.0,-446.0,16401.0,80.0,39.0,35.0
1742508247.5556362,0.0,0.0,0.0,0.0,-450.0,8209.0,0.0,-0.0,0.01,1.0,-506.0,18.0,0.0,0.0,0.0
1742508247.5641403,0.0,0.0,0.0,0.0,-510.0,-8173.0,0.0,-0.0,0.01,0.0,-565.0,-16363.0,0.0,0.0,0.0
1742508247.5761366,0.0,0.0,0.0,-1.0,-569.0,-24554.0,0.0,-0.0,0.01,0.0,-623.0,-32744.0,112.0,92.0,124.0
1742508247.5846364,0.0,0.0,0.0,-1.0,-627.0,24601.0,0.0,-0.0,0.01,0.0,-680.0,16410.0,0.0,0.0,4.0
1742508247.5966377,0.0,0.0,0.0,-1.0,-684.0,8218.0,0.0,-0.0,0.01,0.0,-737.0,27.0,94.0,65.0,53.0
1742508247.6051373,0.0,0.0,0.0,-1.0,-741.0,-8164.0,0.0,-0.0,0.01,0.0,-793.0,-16354.0,0.0,0.0,0.0
1742508247.617166,0.0,0.0,0.0,-1.0,-797.0,-24545.0,0.0,-0.0,0.01,0.0,-848.0,-32735.0,0.0,0.0,0.0
1742508247.625198,0.0,0.0,0.0,-1.0,-852.0,24610.0,0.0,-0.0,0.01,0.0,-902.0,16419.0,78.0,100.0,136.0
1742508247.6336994,0.0,0.0,0.0,-1.0,-906.0,8227.0,0.0,-0.0,0.01,0.0,-956.0,36.0,0.0,39.0,43.0
1742508247.646199,0.0,0.0,0.0,-1.0,-960.0,-8155.0,0.0,0.0,0.01,-1.0,-1009.0,-16345.0,40.0,80.0,40.0
1742508247.654198,0.0,0.0,0.0,-2.0,-1013.0,-24536.0,0.0,0.0,0.01,-2.0,-1061.0,-32726.0,0.0,0.0,0.0
1742508247.6666987,0.0,0.0,0.0,-3.0,-1064.0,24619.0,0.0,0.0,0.01,-3.0,-1112.0,16428.0,1.0,0.0,0.0
1742508247.6746979,0.0,0.0,0.0,-4.0,-1115.0,8236.0,0.0,0.0,0.01,-4.0,-1162.0,45.0,123.0,121.0,109.0
1742508247.686812,0.0,0.0,0.0,-5.0,-1165.0,-8146.0,0.0,0.0,0.01,-5.0,-1211.0,-16336.0,34.0,0.0,0.0
1742508247.6951985,0.0,0.0,0.0,-6.0,-1214.0,-24527.0,0.0,0.0,0.01,-6.0,-1260.0,-32717.0,0.0,0.0,0.0
1742508247.707198,0.0,0.0,0.0,-7.0,-1263.0,24628.0,0.0,0.0,0.01,-7.0,-1308.0,16437.0,0.0,27.0,0.0
1742508247.7158759,0.0,0.0,0.0,-8.0,-1311.0,8245.0,0.0,0.0,0.01,-8.0,-1355.0,54.0,0.0,0.0,0.0
1742508247.7279067,0.0,0.0,0.0,-9.0,-1358.0,-8137.0,0.0,0.0,0.01,-9.0,-1401.0,-16327.0,122.0,90.0,112.0
1742508247.7364094,0.0,0.0,0.0,-10.0,-1404.0,-24518.0,0.0,0.0,0.01,-10.0,-1447.0,-32708.0,0.0,0.0,2.0
1742508247.748408,0.0,0.0,0.0,-11.0,-1450.0,24637.0,0.0,0.0,0.01,-12.0,-1492.0,16446.0,0.0,0.0,0.0
